DWG 实体解析报告 - 210-83-C30302 拨杆座（改2024.06.06）--30件.DWG.dwg

[0x52B9] BLOCK_HEADER           size=114   strings=[]
[0x532F] LAYER_INDEX            size=27    strings=[]
[0x534E] SPATIAL_INDEX          size=30    strings=[]
[0x5370] POLYLINE_PFACE         size=27    strings=[]
[0x538F] VERTEX_MESH            size=10    strings=[]
[0x539D] FACE3D                 size=10    strings=[]
[0x53AB] LIGHT                  size=13    strings=[]
[0x53BC] TABLE_CONTROL          size=13    strings=[]
[0x53CD] LAYER_CONTROL          size=26    strings=[]
[0x53EB] TYPE_0x46              size=10    strings=[]
[0x53F9] TYPE_0x2A              size=135   strings=[ACAD_MLINESTYLE,DWGPROPS]
[0x5484] ENDBLK                 size=37    strings=[*Paper_Space]
[0x54AD] ENDBLK                 size=38    strings=[SW_NOTE_0]
[0x54D7] ENDBLK                 size=42    strings=[SW_NOTE_0_1]
[0x5505] ENDBLK                 size=48    strings=[SW_SFSYMBOL_0]
[0x5539] ENDBLK                 size=55    strings=[SW_TABLEANNOTATION_0]
[0x5574] ENDBLK                 size=33    strings=[_D]
[0x5599] ENDBLK                 size=35    strings=[_D_1]
[0x55C0] ENDBLK                 size=35    strings=[_D_2]
[0x55E7] ENDBLK                 size=35    strings=[_D_3]
[0x560E] ENDBLK                 size=35    strings=[_D_4]
[0x5635] ENDBLK                 size=35    strings=[_D_5]
[0x565C] ENDBLK                 size=56    strings=[SW_CENTERMARKSYMBOL_0]
[0x5698] ENDBLK                 size=48    strings=[SW_SFSYMBOL_1]
[0x56CC] ENDBLK                 size=35    strings=[_D_6]
[0x56F3] ENDBLK                 size=35    strings=[_D_7]
[0x571A] ENDBLK                 size=35    strings=[_D_8]
[0x5741] ENDBLK                 size=35    strings=[_D_9]
[0x5768] ENDBLK                 size=36    strings=[_D_10]
[0x5790] ENDBLK                 size=36    strings=[_D_11]
[0x57B8] ENDBLK                 size=36    strings=[_D_12]
[0x57E0] ENDBLK                 size=36    strings=[_D_13]
[0x5808] ENDBLK                 size=56    strings=[SW_CENTERMARKSYMBOL_1]
[0x5844] ENDBLK                 size=36    strings=[_D_14]
[0x586C] ENDBLK                 size=36    strings=[_D_15]
[0x5894] ENDBLK                 size=36    strings=[_D_16]
[0x58BC] ENDBLK                 size=36    strings=[_D_17]
[0x58E4] ENDBLK                 size=36    strings=[_D_18]
[0x590C] ENDBLK                 size=36    strings=[_D_19]
[0x5934] ENDBLK                 size=36    strings=[_D_20]
[0x595C] ENDBLK                 size=57    strings=[SW_CHAMFER_DIMENSION_0]
[0x5999] ENDBLK                 size=57    strings=[SW_CHAMFER_DIMENSION_1]
[0x59D6] ENDBLK                 size=57    strings=[SW_CHAMFER_DIMENSION_2]
[0x5A13] ENDBLK                 size=36    strings=[_D_21]
[0x5A3B] ENDBLK                 size=56    strings=[SW_CENTERMARKSYMBOL_2]
[0x5A77] ENDBLK                 size=40    strings=[*Model_Space]
[0x5AA3] ENDBLK                 size=37    strings=[*Paper_Space]
[0x5ACC] IDBUFFER               size=22    strings=[]
[0x5AE6] IDBUFFER               size=27    strings=[]
[0x5B05] IDBUFFER               size=27    strings=[]
[0x5B24] IDBUFFER               size=29    strings=[]
[0x5B45] IDBUFFER               size=27    strings=[]
[0x5B64] IDBUFFER               size=27    strings=[]
[0x5B83] IDBUFFER               size=27    strings=[]
[0x5BA2] IDBUFFER               size=27    strings=[]
[0x5BC1] TYPE_0x35              size=37    strings=[Standard,txt]
[0x5BEA] TYPE_0x35              size=58    strings=[SLDTEXTSTYLE0,TXT]
[0x5C28] TYPE_0x35              size=50    strings=[SLDTEXTSTYLE1,TXT]
[0x5C5E] TYPE_0x35              size=58    strings=[SLDTEXTSTYLE2,TXT]
[0x5C9C] TYPE_0x35              size=58    strings=[SLDTEXTSTYLE3,TXT]
[0x5CDA] TYPE_0x35              size=59    strings=[SLDTEXTSTYLE4,TXT]
[0x5D19] TYPE_0x35              size=59    strings=[SLDTEXTSTYLE5,TXT]
[0x5D58] TYPE_0x35              size=51    strings=[SLDTEXTSTYLE6,TXT]
[0x5D8F] VERTEX_PFACE           size=293   strings=[Continuous]
[0x5EB8] VERTEX_PFACE           size=388   strings=[HIDDEN]
[0x6040] VERTEX_PFACE           size=492   strings=[PHANTOM]
[0x6230] VERTEX_PFACE           size=438   strings=[CENTER]
[0x63EA] VERTEX_PFACE           size=439   strings=[CENTERX2]
[0x65A5] VERTEX_PFACE           size=380   strings=[DOT2]
[0x6725] VERTEX_PFACE           size=279   strings=[ByBlock]
[0x6840] VERTEX_PFACE           size=279   strings=[ByLayer]
[0x695B] CAMERA                 size=154   strings=[*Active,SSR]
[0x69F9] LAYER                  size=19    strings=[ACAD]
[0x6A0E] TYPE_0xD8              size=14928 strings=[ISO-25,SLDDIMSTYLE0,SLDDIMSTYLE1,SLDDIMSTYLE2,SLDDIMSTYLE3,Layout2,A2,A6,B0,B4,B8,C2,C6,D0,I-Me5]
[0xA46D] CIRCLE                 size=26    strings=[]
[0xA48B] MTEXT                  size=84    strings=[]
[0xA4E3] MTEXT                  size=82    strings=[]
[0xA539] TYPE_0x13              size=43    strings=[]
[0xA568] TYPE_0x13              size=43    strings=[]
[0xA597] TYPE_0x13              size=43    strings=[]
[0xA5C6] TYPE_0x13              size=43    strings=[]
[0xA5F5] TYPE_0x13              size=43    strings=[]
[0xA624] SPLINE                 size=67    strings=[]
[0xA66B] ARC                    size=20    strings=[]
[0xA683] CIRCLE                 size=26    strings=[]
[0xA69F] BLOCK                  size=22691 strings=[I-Me5]
[0xFF5E] TYPE_0xFD              size=6424  strings=[Yn,Sv,_F,Standard]
[0x1188A] ELLIPSE                size=1636  strings=[]
